paradigm,schedule,p,nodes,resolution,max_iter,pruning,symmetry,T_min,T_median,T_mean,W,lambda_row,lambda_block,cov,speedup,efficiency,karp_flatt_e,comm_fraction,gflops,occupancy,warp_divergence,transfer_time,checksum
cuda,256x1,1,1,1024x1024,1000,0,0,0.00573524,0.0059362675,0.0060907137,259655490,2.763759565,,0.9679585338,,,,,362.189537,1,10215.09974,0.0002241600007,9203734293765563287
serial,-,1,1,1024x1024,1000,0,0,0.721631587,0.721874462,0.7218780813,259655490,2.763759565,,0.9679585338,,,,,2.878537965,,,,9203734293765563287
cuda,256x1,1,1,2048x2048,1000,0,0,0.0191311,0.019653173,0.0198544345,1038538536,2.77157378,,0.9681283442,,,,,434.282832,1,5835.318144,0.0008751360178,14144270813106266507
serial,-,1,1,2048x2048,1000,0,0,2.881270338,2.881942838,2.8818148,1038538536,2.77157378,,0.9681283442,,,,,2.88355736,,,,14144270813106266507
cuda,256x1,1,1,4096x4096,1000,0,0,0.075704964,0.076118326,0.0763305649,4154110032,2.775726711,,0.9681129303,,,,,438.9788793,1,3154.498236,0.002833888054,17079968439232892467
serial,-,1,1,4096x4096,1000,0,0,11.52285016,11.52322459,11.52313512,4154110032,2.775726711,,0.9681129303,,,,,2.884085083,,,,17079968439232892467
cuda,256x1,1,1,512x512,1000,0,0,0.00256502,0.002604846,0.002680569567,64917922,2.764565138,,0.9679202145,,,,,202.4714723,1,18012.38001,8.956799656e-05,18092340902946371711
serial,-,1,1,512x512,1000,0,0,0.180682766,0.180798138,0.18092973,64917922,2.764565138,,0.9679202145,,,,,2.874338198,,,,18092340902946371711
cuda,256x1,1,1,2048x2048,5000,0,0,0.087474388,0.0882467605,0.08931557177,5086649408,2.809283878,,0.9853918185,,,,,465.2012571,1,165109.72,0.0007310079932,6510831182777291471
serial,-,1,1,2048x2048,5000,0,0,14.21804983,14.2288387,14.22557745,5086649408,2.809283878,,0.9853918185,,,,,2.862079943,,,,6510831182777291471
cuda,256x1,1,1,2048x2048,500,0,0,0.010445953,0.010605351,0.0108230026,531246830,2.732366347,,0.9487649849,,,,,406.8537011,1,1330.517847,0.0007394239902,10682239026435575055
serial,-,1,1,2048x2048,500,0,0,1.462805541,1.462864282,1.462909429,531246830,2.732366347,,0.9487649849,,,,,2.905358587,,,,10682239026435575055
